#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         201    -5.54483     -5.6538   0.0136092
         202    -5.55936    -5.65333   0.0135498
         203    -5.55678    -5.65285   0.0134914
         204    -5.46289    -5.65192   0.0134574
         205    -5.53267    -5.65134   0.0134043
         206    -5.42715    -5.65025   0.0133833
         207    -5.35656    -5.64883   0.0133937
         208    -5.36813    -5.64748   0.0133971
         209    -5.38768    -5.64624   0.0133906
         210    -5.34467    -5.64481   0.0134036
         211    -5.43506    -5.64381   0.0133769
         212    -5.46371    -5.64296   0.0133407
         213    -5.53419    -5.64245   0.0132878
         214    -5.57899    -5.64215   0.0132291
         215    -5.56995    -5.64182   0.0131718
         216    -5.68816    -5.64203   0.0131126
         217    -5.67826     -5.6422   0.0130532
         218    -5.66916    -5.64232   0.0129939
         219     -5.7922    -5.64301   0.0129526
         220    -5.75472    -5.64352   0.0129037
         221    -5.62776    -5.64344   0.0128455
         222     -5.6327     -5.6434   0.0127877
         223    -5.66389    -5.64349   0.0127307
         224    -5.67399    -5.64362   0.0126746
         225    -5.68374     -5.6438   0.0126195
         226    -5.61586    -5.64368   0.0125643
         227    -5.60148    -5.64349   0.0125103
         228    -5.47045    -5.64273   0.0124784
         229    -5.34103    -5.64142   0.0124933
         230    -5.37756    -5.64027   0.0124915
         231     -5.3622    -5.63907   0.0124953
         232    -5.53416    -5.63861   0.0124496
         233     -5.5452    -5.63821   0.0124027
         234    -5.52526    -5.63773    0.012359
         235    -5.59737    -5.63756   0.0123076
         236    -5.48526    -5.63691   0.0122724
         237    -5.47832    -5.63624   0.0122389
         238    -5.45439    -5.63548   0.0122113
         239    -5.41398    -5.63455   0.0121953
         240    -5.40542     -5.6336   0.0121818
         241    -5.41164    -5.63268    0.012166
         242    -5.42813    -5.63183   0.0121451
         243    -5.46956    -5.63116   0.0121134
         244    -5.48788    -5.63058    0.012078
         245    -5.50959    -5.63008   0.0120388
         246    -5.55256    -5.62977    0.011994
         247     -5.5113    -5.62929    0.011955
         248    -5.50382    -5.62878   0.0119175
         249    -5.36788    -5.62773   0.0119156
         250     -5.4376    -5.62697   0.0118922
         251    -5.35981    -5.62591   0.0118924
         252     -5.3436    -5.62479   0.0118978
         253    -5.42043    -5.62398   0.0118782
         254    -5.47305    -5.62339   0.0118463
         255    -5.45619    -5.62273   0.0118179
         256    -5.47424    -5.62215    0.011786
         257    -5.44816    -5.62147   0.0117596
         258    -5.41526    -5.62068   0.0117411
         259     -5.4147    -5.61988   0.0117227
         260    -5.42479    -5.61913   0.0117016
         261    -5.39527    -5.61827   0.0116881
         262    -5.38666    -5.61739   0.0116769
         263    -5.48142    -5.61687    0.011644
         264    -5.40358    -5.61606   0.0116279
         265    -5.43689    -5.61539   0.0116036
         266    -5.29999     -5.6142   0.0116204
         267    -5.36259    -5.61326    0.011615
         268    -5.42132    -5.61254   0.0115938
         269    -5.37296    -5.61165   0.0115848
         270    -5.38228     -5.6108    0.011573
         271    -5.35709    -5.60987   0.0115681
         272    -5.35592    -5.60893   0.0115632
         273     -5.4037    -5.60818   0.0115453
         274    -5.38749    -5.60738   0.0115312
         275     -5.4061    -5.60664   0.0115125
         276    -5.48203    -5.60619   0.0114796
         277    -5.31063    -5.60512   0.0114876
         278    -5.23808     -5.6038   0.0115219
         279    -5.26228    -5.60258   0.0115455
         280    -5.31275    -5.60155   0.0115505
         281     -5.4283    -5.60093   0.0115259
         282    -5.43626    -5.60034   0.0114998
         283    -5.41255    -5.59968   0.0114783
         284    -5.38191    -5.59891   0.0114635
         285    -5.31904    -5.59793   0.0114652
         286    -5.38878     -5.5972   0.0114484
         287    -5.37191    -5.59642   0.0114354
         288    -5.45081    -5.59591   0.0114069
         289    -5.48591    -5.59553   0.0113738
         290    -5.46602    -5.59508   0.0113433
         291    -5.33212    -5.59418   0.0113403
         292    -5.30681     -5.5932   0.0113441
         293    -5.31122    -5.59223   0.0113461
         294     -5.3199    -5.59131   0.0113452
         295    -5.40641    -5.59068   0.0113241
         296    -5.44634    -5.59019   0.0112963
         297    -5.53069    -5.58999   0.0112601
         298    -5.49504    -5.58967   0.0112268
         299    -5.43332    -5.58915   0.0112014
         300    -5.39084    -5.58849   0.0111836
         301     -5.3796     -5.5878   0.0111679
         302    -5.50967    -5.58754   0.0111339
         303     -5.5006    -5.58725   0.0111009
         304    -5.43429    -5.58675   0.0110758
         305    -5.49528    -5.58645   0.0110435
         306    -5.48413    -5.58611   0.0110125
         307    -5.42869     -5.5856   0.0109885
         308    -5.45925    -5.58519   0.0109605
         309    -5.46673    -5.58481   0.0109317
         310    -5.50093    -5.58454   0.0108998
         311    -5.40729    -5.58397   0.0108797
         312    -5.44239    -5.58351   0.0108543
         313    -5.54162    -5.58338   0.0108204
         314    -5.55711    -5.58329   0.0107863
         315    -5.45591    -5.58289   0.0107596
         316     -5.4559    -5.58249   0.0107331
         317    -5.48485    -5.58218   0.0107036
         318    -5.42908     -5.5817   0.0106808
         319    -5.46245    -5.58133   0.0106538
         320    -5.50251    -5.58108   0.0106234
         321    -5.44568    -5.58066   0.0105987
         322    -5.40684    -5.58012   0.0105795
         323    -5.34033    -5.57937   0.0105728
         324    -5.47958    -5.57907   0.0105446
         325    -5.39896    -5.57851   0.0105267
         326    -5.50926     -5.5783   0.0104966
         327    -5.43398    -5.57786   0.0104737
         328     -5.4862    -5.57758   0.0104455
         329    -5.40308    -5.57705   0.0104272
         330    -5.37355    -5.57643   0.0104139
         331    -5.41084    -5.57593   0.0103944
         332    -5.41641    -5.57545   0.0103742
         333    -5.54909    -5.57537   0.0103434
         334    -5.50317    -5.57516   0.0103146
         335      -5.553    -5.57509   0.0102841
         336    -5.45023    -5.57472   0.0102602
         337     -5.4522    -5.57435   0.0102362
         338    -5.53807    -5.57425   0.0102064
         339    -5.52018    -5.57409   0.0101776
         340    -5.46019    -5.57375   0.0101532
         341    -5.49365    -5.57352   0.0101261
         342    -5.52788    -5.57338   0.0100974
         343    -5.46633    -5.57307   0.0100728
         344    -5.45939    -5.57274   0.0100489
         345    -5.43754    -5.57235   0.0100274
         346    -5.36162    -5.57174   0.0100169
         347    -5.41215    -5.57128  0.00999859
         348    -5.48737    -5.57104  0.00997277
         349    -5.44761    -5.57069  0.00995046
         350    -5.53221    -5.57058  0.00992264
         351    -5.47213     -5.5703  0.00989833
         352    -5.37842    -5.56975  0.00988521
         353    -5.39213    -5.56925     0.00987
         354    -5.42552    -5.56884  0.00985047
         355     -5.4872    -5.56861  0.00982541
         356    -5.57641    -5.56863  0.00979783
         357    -5.57824    -5.56866  0.00977042
