T:    MU:       SIGMA:     ENERGY:      EN_ERR:    MEAN_ACCEPTANCE:   BEST_ENERGY:
0.408687    0.788582    0.683838   -0.428958   0.0053354     0.76606   -0.428958
0.4046    0.646137    0.727863   -0.355612  0.00693564     0.71232   -0.428958
0.400554    0.775972    0.659445   -0.438123  0.00386846     0.75972   -0.438123
0.396549    0.873484    0.583768    -0.41416  0.00351408     0.66596   -0.438123
0.392583    0.873484    0.583768    -0.41416  0.00351408     0.66596   -0.438123
0.388657    0.953963    0.624409   -0.331763  0.00803856     0.66518   -0.438123
0.384771    0.923627    0.611385   -0.392351  0.00560731     0.66576   -0.438123
0.380923     1.06184     0.59266   -0.140915   0.0115622     0.58824   -0.438123
0.377114     1.06184     0.59266   -0.140915   0.0115622     0.58824   -0.438123
0.373343     1.17107    0.631313    0.165978   0.0209426     0.59118   -0.438123
0.369609     1.07986    0.691146 -0.00591325   0.0163757      0.6823   -0.438123
0.365913     1.19953     0.72678    0.505247   0.0316719     0.66348   -0.438123
0.362254     1.13186    0.647115    0.107214   0.0189987     0.62208   -0.438123
0.358631     1.10251    0.722005     0.13628   0.0301879     0.70206   -0.438123
0.355045    0.975546     0.72445   -0.196282   0.0210749     0.74896   -0.438123
0.351495    0.898402     0.71513   -0.349919   0.0119539     0.76188   -0.438123
0.34798    0.949677     0.75583   -0.202423   0.0196282     0.77712   -0.438123
0.3445    0.921044    0.812522  -0.0792292   0.0264445      0.7994   -0.438123
0.341055    0.910096    0.893824   0.0354642   0.0324364     0.80238   -0.438123
0.337644    0.792265    0.900954   -0.122214   0.0283914     0.76828   -0.438123
0.334268    0.922826    0.865524 -0.00596234   0.0291342     0.80368   -0.438123
0.330925    0.938788    0.886239     0.13816   0.0462582     0.80718   -0.438123
0.327616    0.938788    0.886239     0.13816   0.0462582     0.80718   -0.438123
0.32434    0.829001    0.899185  -0.0953582   0.0260858     0.77902   -0.438123
0.321096    0.937333    0.877033   0.0104768    0.031208     0.81282   -0.438123
0.317885    0.937333    0.877033   0.0104768    0.031208     0.81282   -0.438123
0.314707    0.973269    0.844662   0.0789788   0.0314224      0.8064   -0.438123
0.311559    0.882561    0.875077  0.00591067    0.031753     0.79328   -0.438123
0.308444    0.862307     0.83625   -0.190059   0.0223435     0.79024   -0.438123
0.305359     0.73634    0.866402   -0.228666   0.0182805     0.74762   -0.438123
0.302306     0.69858    0.900023   -0.191027   0.0303891      0.7425   -0.438123
