Generation Loss_Best Loss_Average_Half
378 6363.43 6950.41
379 6363.43 7021.76
380 6363.43 7001.23
381 6363.43 6908.48
382 6363.43 6681.94
383 6363.43 6610.29
384 6363.43 6487.18
385 6363.43 6482.02
386 6363.43 6468.48
387 6363.43 6478.08
388 6362.4 6448.15
389 6362.4 6425.2
390 6362.4 6435.67
391 6293.94 6450.05
392 6293.94 6481.63
393 6293.94 6560.85
394 6293.94 6493.86
395 6293.94 6446.26
396 6293.94 6403.65
397 6293.94 6382.16
398 6286.27 6392.78
399 6286.27 6336.65
400 6286.27 6349.25
401 6286.27 6362.37
402 6286.27 6356.04
403 6286.27 6386.7
404 6286.27 6376.24
405 6286.27 6346.76
406 6261.95 6387.35
407 6254.28 6363.43
408 6254.28 6351.01
409 6254.28 6324.03
410 6254.28 6354.6
411 6254.28 6335.17
412 6254.28 6355.13
413 6254.28 6317.2
414 6254.28 6317.19
415 6254.28 6315.16
416 6254.28 6319.83
417 6254.28 6315.74
418 6254.28 6341.65
419 6254.28 6333.1
420 6254.28 6315.82
421 6254.28 6352.75
422 6254.28 6353.26
423 6254.28 6345.09
424 6254.28 6326.97
425 6254.28 6296.52
426 6254.28 6309.48
427 6254.28 6300.22
428 6254.28 6309.38
429 6254.28 6326.74
430 6254.28 6304.13
431 6254.28 6316.75
432 6254.28 6318.1
433 6254.28 6309.59
434 6254.28 6330.57
435 6254.28 6319.28
436 6240.17 6321.02
437 6240.17 6350.79
438 6240.17 6379.35
439 6240.17 6346.52
440 6240.17 6380.09
441 6240.17 6357.53
442 6240.17 6313.75
443 6240.17 6284.69
444 6240.17 6284.84
445 6240.17 6285.56
446 6240.17 6300.9
447 6240.17 6307.32
448 6240.17 6336.68
449 6240.17 6371.48
450 6240.17 6331.6
451 6232.5 6334.87
452 6232.5 6298
453 6232.5 6274.23
454 6232.5 6330.67
455 6232.5 6304.99
456 6232.5 6285.57
457 6232.5 6305.87
458 6232.5 6290.5
459 6232.5 6295.03
460 6232.5 6299.69
461 6232.5 6266.53
462 6232.5 6258.01
463 6232.5 6298.04
464 6232.5 6275.28
465 6232.5 6288.44
466 6222.59 6279.97
467 6222.59 6285.07
468 6222.59 6304.84
469 6222.59 6282.99
470 6222.59 6283.24
471 6222.59 6292.12
472 6222.59 6319.04
473 6222.59 6306.43
474 6222.59 6297.29
475 6222.59 6282.63
476 6222.59 6260.04
477 6222.59 6240.67
478 6222.59 6252.38
479 6222.59 6251.02
480 6222.59 6262.87
481 6222.59 6281.08
482 6222.59 6283.09
483 6222.59 6285.88
484 6222.59 6246.28
485 6222.59 6257.4
486 6222.59 6272.94
487 6222.59 6290.74
488 6222.59 6324.98
489 6222.59 6303.8
490 6222.59 6272.66
491 6222.59 6307.07
492 6222.59 6278.04
493 6222.59 6256.34
494 6222.59 6282.73
495 6222.59 6270.41
496 6222.59 6276.58
497 6222.59 6295.19
498 6222.59 6303.82
499 6222.59 6275.87
500 6222.59 6311.02
501 6222.59 6300.11
502 6222.59 6338.44
503 6222.59 6303.13
504 6222.59 6312.69
505 6222.59 6305.56
506 6222.59 6320.24
507 6222.59 6334.57
508 6222.59 6273.07
509 6222.59 6297.77
510 6222.59 6265.52
511 6222.59 6300.06
512 6222.59 6307.1
513 6222.59 6310.49
514 6222.59 6278.91
515 6222.59 6285.81
516 6222.59 6275.77
517 6222.59 6277.75
518 6222.59 6295.17
519 6222.59 6268.12
520 6222.59 6266.17
521 6222.59 6272.66
522 6222.59 6302.94
523 6222.59 6335.85
524 6222.59 6284.04
525 6222.59 6308.37
526 6222.59 6329.75
527 6222.59 6282.41
528 6222.59 6287.53
529 6222.59 6269.09
530 6222.59 6254.25
531 6222.59 6253.79
532 6222.59 6306.37
533 6222.59 6281.1
534 6222.59 6289.99
535 6222.59 6300.45
536 6222.59 6310.41
537 6222.59 6308.3
538 6222.59 6288.59
539 6222.59 6259.55
540 6222.59 6268.49
541 6222.59 6239.86
542 6222.59 6258.35
543 6222.59 6276.26
544 6222.59 6281.8
545 6222.59 6262.48
546 6222.59 6258.16
547 6222.59 6266.53
548 6222.59 6283.86
549 6222.59 6327.81
550 6222.59 6324.01
551 6222.59 6355.21
552 6222.59 6280.25
553 6222.59 6264.22
554 6222.59 6304.66
555 6222.59 6263.17
556 6222.59 6276.71
557 6222.59 6290.21
558 6222.59 6259.17
559 6222.59 6253.61
560 6222.59 6267.16
561 6222.59 6294.58
562 6222.59 6292.86
563 6222.59 6267.09
564 6222.59 6318.08
565 6222.59 6338.08
566 6222.59 6299.99
567 6222.59 6294.64
568 6222.59 6294.58
