Block   Block_Energy   Progressive_Avg   Progressive_Err   Acceptance     
161     0.33277318     -0.25651516       0.10485899        0.5714         
162     -0.42451933    -0.25755222       0.10421486        0.5741         
163     0.11501358     -0.25526654       0.10359875        0.5767         
164     0.11501358     -0.25300873       0.10298986        0.5732         
165     -2.30926009    -0.26547086       0.10311958        0.5758         
166     0.34384773     -0.26180027       0.10256220        0.5783         
167     0.34384773     -0.25817363       0.10201069        0.5749         
168     0.34384773     -0.25459017       0.10146496        0.5714         
169     -0.11220063    -0.25374763       0.10086631        0.5740         
170     -0.11220063    -0.25291500       0.10027468        0.5706         
171     -0.11220063    -0.25209211       0.09968995        0.5673         
172     -0.11220063    -0.25127879       0.09911200        0.5640         
173     -0.11220063    -0.25047487       0.09854071        0.5607         
174     -0.11220063    -0.24968019       0.09797597        0.5575         
175     0.34384407     -0.24628862       0.09747352        0.5600         
176     0.34384407     -0.24293559       0.09697610        0.5568         
177     0.34384407     -0.23962046       0.09648363        0.5537         
178     0.34384407     -0.23634256       0.09599603        0.5506         
179     0.34384407     -0.23310130       0.09551325        0.5475         
180     0.34384407     -0.22989605       0.09503520        0.5444         
181     0.34384407     -0.22672621       0.09456183        0.5414         
182     0.34384407     -0.22359121       0.09409307        0.5385         
183     0.38569264     -0.22026179       0.09363669        0.5410         
184     0.38569264     -0.21696856       0.09318462        0.5380         
185     0.19464694     -0.21474361       0.09270625        0.5405         
186     0.28185001     -0.21207375       0.09224513        0.5430         
187     0.28185001     -0.20943245       0.09178853        0.5401         
188     -0.09816628    -0.20884061       0.09130090        0.5426         
189     -0.09816628    -0.20825503       0.09081843        0.5397         
190     -0.09816628    -0.20767561       0.09034103        0.5368         
191     -0.09816628    -0.20710227       0.08986863        0.5340         
192     -0.24005355    -0.20727389       0.08939950        0.5365         
193     -0.24005355    -0.20744373       0.08893525        0.5337         
194     -0.53426073    -0.20912836       0.08849167        0.5361         
195     0.51895930     -0.20539457       0.08811584        0.5385         
196     0.52813598     -0.20165207       0.08774496        0.5408         
197     0.52813598     -0.19794756       0.08737699        0.5381         
198     -0.68470921    -0.20040595       0.08696932        0.5404         
199     -0.68470921    -0.20283964       0.08656540        0.5377         
200     -0.68470921    -0.20524899       0.08616518        0.5350         
201     -0.68470921    -0.20763436       0.08576860        0.5323         
202     -0.24753767    -0.20783190       0.08534318        0.5347         
203     -0.17201039    -0.20765544       0.08492191        0.5369         
204     -0.17201039    -0.20748071       0.08450478        0.5343         
205     -0.70560289    -0.20991058       0.08412665        0.5366         
206     -0.79103043    -0.21273155       0.08376479        0.5388         
207     0.05986586     -0.21141465       0.08336955        0.5411         
208     0.47966108     -0.20809217       0.08303426        0.5433         
209     0.52456303     -0.20458664       0.08271034        0.5455         
210     0.52456303     -0.20111450       0.08238873        0.5429         
211     0.52456303     -0.19767527       0.08206943        0.5403         
212     0.52456303     -0.19426849       0.08175240        0.5377         
213     0.52456303     -0.19089369       0.08143764        0.5352         
214     -0.56237160    -0.19262957       0.08107478        0.5374         
215     -0.01485164    -0.19180270       0.08070105        0.5395         
216     -0.57967649    -0.19359841       0.08034663        0.5417         
217     -0.26478659    -0.19392646       0.07997619        0.5438         
218     -0.26478659    -0.19425151       0.07960914        0.5413         
219     -0.26478659    -0.19457359       0.07924545        0.5388         
220     -0.26478659    -0.19489274       0.07888507        0.5364         
221     -0.26478659    -0.19520900       0.07852795        0.5339         
222     0.51184758     -0.19202406       0.07823827        0.5360         
223     -0.01482055    -0.19122943       0.07789069        0.5381         
224     -0.01482055    -0.19044189       0.07754618        0.5357         
225     0.05029167     -0.18937196       0.07720818        0.5378         
226     0.05029167     -0.18831150       0.07687310        0.5354         
227     -2.63692517    -0.19909834       0.07729013        0.5374         
228     -4.31302404    -0.21714188       0.07903753        0.5395         
229     -5.21979184    -0.23898751       0.08166765        0.5415         
230     -4.87274946    -0.25913430       0.08377053        0.5435         
231     -0.09012163    -0.25840265       0.08341031        0.5455         
232     -0.17339046    -0.25803621       0.08305081        0.5474         
233     0.49503430     -0.25480415       0.08275674        0.5494         
234     0.49503430     -0.25159971       0.08246460        0.5470         
235     0.49503430     -0.24842255       0.08217438        0.5447         
236     0.49503430     -0.24527231       0.08188606        0.5424         
237     0.48206576     -0.24220337       0.08159755        0.5443         
238     -0.03629765    -0.24133822       0.08125859        0.5462         
239     0.06719200     -0.24004730       0.08092818        0.5481         
240     0.06719200     -0.23876713       0.08060044        0.5458         
241     0.06719200     -0.23749759       0.08027534        0.5436         
242     0.06719200     -0.23623855       0.07995285        0.5413         
243     0.06719200     -0.23498986       0.07963294        0.5391         
244     -0.10073435    -0.23443963       0.07930781        0.5410         
245     0.35177612     -0.23204692       0.07901967        0.5429         
246     0.35177612     -0.22967365       0.07873358        0.5407         
247     0.35177612     -0.22731960       0.07844950        0.5385         
248     0.04789560     -0.22620987       0.07814041        0.5403         
249     0.30721813     -0.22406758       0.07785544        0.5422         
250     -0.90242099    -0.22678100       0.07759085        0.5440         
251     -0.90242099    -0.22947279       0.07732797        0.5418         
252     0.18895339     -0.22781237       0.07703840        0.5437         
253     -0.39396044    -0.22846908       0.07673610        0.5455         
254     0.42694087     -0.22588873       0.07647694        0.5472         
255     0.49958785     -0.22304372       0.07622955        0.5490         
256     0.49958785     -0.22022094       0.07598364        0.5469         
257     0.49958785     -0.21742013       0.07573922        0.5447         
258     0.49958785     -0.21464103       0.07549625        0.5426         
259     -0.60488145    -0.21614775       0.07521929        0.5444         
260     -0.60488145    -0.21764288       0.07494434        0.5423         
261     -0.60488145    -0.21912655       0.07467138        0.5402         
262     -0.60488145    -0.22059890       0.07440040        0.5382         
263     -0.60488145    -0.22206005       0.07413137        0.5361         
264     -0.81598769    -0.22430977       0.07388430        0.5379         
265     0.19964402     -0.22270995       0.07362234        0.5396         
266     0.19964402     -0.22112215       0.07336223        0.5376         
267     -4.81261263    -0.23831874       0.07508279        0.5393         
268     0.38637727     -0.23598779       0.07483841        0.5410         
269     0.38637727     -0.23367416       0.07459557        0.5390         
270     -0.44262419    -0.23444805       0.07432281        0.5407         
271     -1.70957347    -0.23989132       0.07424784        0.5424         
272     0.38961787     -0.23757695       0.07401056        0.5441         
273     0.38961787     -0.23527953       0.07377475        0.5421         
274     0.38961787     -0.23299888       0.07354037        0.5401         
275     0.38961787     -0.23073482       0.07330744        0.5382         
276     0.53061000     -0.22797633       0.07309342        0.5399         
277     0.53061000     -0.22523775       0.07288054        0.5379         
278     -5.59586510    -0.24455655       0.07514370        0.5396         
279     0.29624582     -0.24261819       0.07489897        0.5412         
280     0.29624582     -0.24069368       0.07465581        0.5393         
281     0.29624582     -0.23878286       0.07441419        0.5374         
282     0.29624582     -0.23688560       0.07417411        0.5355         
283     0.47118589     -0.23438358       0.07395388        0.5371         
284     -0.53826152    -0.23545357       0.07370079        0.5387         
285     -1.18960026    -0.23880145       0.07351800        0.5404         
286     -0.72332801    -0.24049560       0.07328008        0.5420         
287     0.43317828     -0.23814831       0.07306202        0.5436         
288     0.43317828     -0.23581731       0.07284519        0.5417         
289     0.43317828     -0.23350245       0.07262960        0.5398         
290     -5.98354394    -0.25333018       0.07504543        0.5414         
291     -3.13473002    -0.26323189       0.07543974        0.5430         
292     -5.42527847    -0.28091014       0.07723143        0.5445         
293     -5.43828617    -0.29851210       0.07895447        0.5461         
294     0.46913455     -0.29590106       0.07872877        0.5476         
295     0.49623251     -0.29321586       0.07850738        0.5492         
296     0.30833509     -0.29118359       0.07826809        0.5507         
297     0.37306837     -0.28894706       0.07803617        0.5522         
298     0.37306837     -0.28672553       0.07780558        0.5503         
299     0.37306837     -0.28451886       0.07757632        0.5485         
300     0.37306837     -0.28232690       0.07734836        0.5467         
301     0.37306837     -0.28014951       0.07712171        0.5449         
302     0.37306837     -0.27798654       0.07689634        0.5430         
303     0.37306837     -0.27583784       0.07667225        0.5413         
304     0.19195948     -0.27429903       0.07643511        0.5428         
305     0.19195948     -0.27277032       0.07619943        0.5410         
306     0.47781586     -0.27031742       0.07598960        0.5425         
307     0.47781586     -0.26788050       0.07578087        0.5407         
308     0.47781586     -0.26545941       0.07557322        0.5390         
309     0.41905669     -0.26324415       0.07536081        0.5405         
310     0.43352002     -0.26099652       0.07515094        0.5419         
311     0.43352002     -0.25876335       0.07494219        0.5402         
312     -0.30170268    -0.25890098       0.07470173        0.5417         
313     0.49828398     -0.25648186       0.07450197        0.5431         
314     0.49828398     -0.25407814       0.07430321        0.5414         
315     0.49828398     -0.25168969       0.07410545        0.5397         
316     0.22422090     -0.25018364       0.07388592        0.5411         
317     -0.78482998    -0.25187023       0.07367178        0.5426         
318     -0.56974658    -0.25286984       0.07344655        0.5440         
319     -0.63139581    -0.25405644       0.07322556        0.5455         
320     -0.63139581    -0.25523562       0.07300590        0.5437         
321     -1.06028846    -0.25774358       0.07282131        0.5452         
322     0.06497969     -0.25674133       0.07260172        0.5466         
323     0.06497969     -0.25574529       0.07238345        0.5449         
324     0.06497969     -0.25475540       0.07216649        0.5432         
325     -0.73998140    -0.25624840       0.07195958        0.5446         
326     -0.73998140    -0.25773225       0.07175385        0.5429         
327     -0.73998140    -0.25920701       0.07154929        0.5413         
328     -0.73998140    -0.26067279       0.07134587        0.5396         
329     0.03937661     -0.25976079       0.07113453        0.5410         
330     0.03937661     -0.25885431       0.07092444        0.5394         
331     0.03937661     -0.25795331       0.07071558        0.5378         
332     0.03937661     -0.25705774       0.07050795        0.5361         
333     0.44265917     -0.25495648       0.07032729        0.5375         
334     0.25950998     -0.25341617       0.07013333        0.5389         
335     0.25950998     -0.25188504       0.06994043        0.5373         
336     0.25950998     -0.25036303       0.06974857        0.5357         
337     0.25950998     -0.24885006       0.06955775        0.5341         
338     -0.29491342    -0.24898634       0.06935179        0.5355         
339     -0.29491342    -0.24912182       0.06914704        0.5339         
340     -0.30399107    -0.24928320       0.06894355        0.5353         
341     -0.79006554    -0.25086907       0.06875937        0.5367         
342     -0.79006554    -0.25244567       0.06857615        0.5351         
343     -0.79006554    -0.25401307       0.06839389        0.5335         
344     0.20846429     -0.25266866       0.06820803        0.5349         
345     0.20846429     -0.25133204       0.06802317        0.5333         
346     0.28244677     -0.24978933       0.06784383        0.5347         
347     0.28244677     -0.24825551       0.06766542        0.5331         
348     0.28244677     -0.24673050       0.06748793        0.5316         
349     0.51417662     -0.24455025       0.06732958        0.5330         
350     0.51150159     -0.24239011       0.06717168        0.5343         
351     0.29761193     -0.24085164       0.06699770        0.5356         
352     0.29761193     -0.23932191       0.06682461        0.5341         
353     0.52540294     -0.23715555       0.06667024        0.5354         
354     0.52540294     -0.23500143       0.06651653        0.5339         
355     -1.25074782    -0.23786269       0.06639058        0.5352         
356     -2.28772709    -0.24362074       0.06645375        0.5365         
357     -0.71513009    -0.24494149       0.06628051        0.5378         
358     -3.34451575    -0.25359952       0.06665977        0.5391         
359     0.52803415     -0.25142227       0.06650947        0.5404         
360     0.52803415     -0.24925711       0.06635980        0.5389         
361     -1.98162276    -0.25405591       0.06634949        0.5402         
362     -0.41575340    -0.25450258       0.06616746        0.5414         
363     -0.54309488    -0.25529761       0.06598972        0.5427         
364     -0.54309488    -0.25608826       0.06581292        0.5412         
365     -0.54309488    -0.25687458       0.06563708        0.5397         
366     -0.54309488    -0.25765660       0.06546217        0.5383         
367     -5.67043496    -0.27240531       0.06692882        0.5395         
368     -5.84392526    -0.28754531       0.06844225        0.5408         
369     -5.37029228    -0.30131970       0.06963250        0.5420         
370     0.23080477     -0.29988152       0.06945894        0.5432         
371     0.23080477     -0.29845110       0.06928624        0.5418         
372     0.32045100     -0.29678739       0.06911976        0.5430         
373     0.32045100     -0.29513259       0.06895406        0.5416         
374     0.32045100     -0.29348664       0.06878914        0.5401         
