Generation Loss_Best Loss_Average_Half
402 6384.92 6448.4
403 6384.92 6429.42
404 6384.92 6437.6
405 6384.92 6433.37
406 6384.92 6441.44
407 6384.92 6446.76
408 6384.92 6451.42
409 6384.92 6454.67
410 6384.92 6452.87
411 6384.92 6448.8
412 6384.92 6461.63
413 6384.92 6474.77
414 6384.92 6461.81
415 6384.92 6448.35
416 6384.92 6429.51
417 6384.92 6439.64
418 6384.92 6426.55
419 6384.92 6429.08
420 6384.92 6434.27
421 6384.92 6442.44
422 6384.92 6448.77
423 6384.92 6451.8
424 6384.92 6442.17
425 6384.92 6441.25
426 6384.92 6436.95
427 6384.92 6428.49
428 6384.92 6427.78
429 6384.92 6429.46
430 6384.92 6440.18
431 6384.92 6449.48
432 6384.92 6458.21
433 6384.92 6456.14
434 6384.92 6439.42
435 6384.92 6448.45
436 6384.92 6442.45
437 6384.92 6450.53
438 6384.92 6445.2
439 6384.92 6442.06
440 6384.92 6455.72
441 6384.92 6448.63
442 6384.92 6458.52
443 6384.92 6436.6
444 6384.92 6432.86
445 6384.92 6444.28
446 6384.92 6450.64
447 6384.92 6457.39
448 6384.92 6472.07
449 6384.92 6461.13
450 6384.92 6455.66
451 6384.92 6448.74
452 6384.92 6429.05
453 6384.92 6428.66
454 6384.92 6443.57
455 6384.92 6474.75
456 6384.92 6448.65
457 6384.92 6461.73
458 6384.92 6451.74
459 6384.92 6459.83
460 6384.92 6439.98
461 6384.92 6427.13
462 6384.92 6429.89
463 6384.92 6427.96
464 6384.92 6437.31
465 6384.92 6428.47
466 6384.92 6436.62
467 6384.92 6425.82
468 6384.92 6428.48
469 6384.92 6447.51
470 6384.92 6454.84
471 6384.92 6449.6
472 6384.92 6454.73
473 6384.92 6434.5
474 6384.92 6438.27
475 6384.92 6428.9
476 6384.92 6434
477 6384.92 6432.52
478 6384.92 6449.45
479 6384.92 6435.59
480 6384.92 6449.64
481 6384.92 6446.61
482 6384.92 6438.62
483 6384.92 6458.39
484 6384.92 6453.6
485 6384.92 6444.5
486 6384.92 6447.09
487 6384.92 6440.46
488 6380.8 6447.49
489 6380.8 6439.37
490 6377.68 6449.29
491 6377.68 6449.02
492 6377.68 6435.79
493 6377.68 6440.69
494 6377.68 6455.22
495 6377.68 6454.17
496 6377.68 6442.59
497 6377.68 6430.57
498 6365.24 6465.41
499 6365.24 6461.06
500 6365.24 6475.5
501 6365.24 6452.73
502 6365.24 6446.48
503 6365.24 6421.28
504 6365.24 6418.49
505 6365.24 6479.47
506 6365.24 6601.34
507 6365.24 6811.83
