#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         200    -5.44428     -5.8061    0.037853
         201    -5.44196    -5.80429    0.037708
         202    -5.43988    -5.80249   0.0375645
         203    -5.43806    -5.80069   0.0374223
         204    -5.43621    -5.79891   0.0372815
         205    -5.43435    -5.79713    0.037142
         206    -5.43308    -5.79536   0.0370037
         207    -5.43183     -5.7936   0.0368666
         208    -5.43028    -5.79186   0.0367307
         209    -5.42907    -5.79012    0.036596
         210    -5.42819     -5.7884   0.0364623
         211    -5.42766    -5.78669   0.0363295
         212    -5.42749    -5.78499   0.0361977
         213    -5.42739    -5.78332   0.0360666
         214    -5.42736    -5.78165   0.0359364
         215    -5.42803    -5.78001   0.0358069
         216    -5.42896    -5.77838    0.035678
         217    -5.42984    -5.77678   0.0355497
         218     -5.4304    -5.77519   0.0354221
         219    -5.43169    -5.77362   0.0352951
         220    -5.43314    -5.77207   0.0351686
         221    -5.43505    -5.77055   0.0350425
         222    -5.43742    -5.76905   0.0349167
         223    -5.43996    -5.76757   0.0347913
         224    -5.44328    -5.76612   0.0346661
         225    -5.44661     -5.7647   0.0345411
         226    -5.45042    -5.76331   0.0344163
         227    -5.45437    -5.76195   0.0342916
         228    -5.45861    -5.76062    0.034167
         229    -5.46297    -5.75932   0.0340425
         230    -5.46742    -5.75805   0.0339181
         231    -5.47239    -5.75681   0.0337938
         232     -5.4771    -5.75561   0.0336697
         233    -5.48331    -5.75444   0.0335454
         234    -5.48888    -5.75331   0.0334213
         235    -5.49422     -5.7522   0.0332972
         236    -5.49975    -5.75113   0.0331733
         237    -5.50541     -5.7501   0.0330495
         238    -5.51088    -5.74909    0.032926
         239    -5.51657    -5.74812   0.0328026
         240    -5.52184    -5.74718   0.0326794
         241    -5.52695    -5.74626   0.0325566
         242    -5.53204    -5.74538   0.0324341
         243    -5.53753    -5.74452   0.0323119
         244    -5.54218    -5.74369   0.0321901
         245    -5.54644    -5.74289   0.0320688
         246    -5.55058     -5.7421    0.031948
         247    -5.55431    -5.74134   0.0318277
         248    -5.55745     -5.7406    0.031708
         249    -5.56047    -5.73988   0.0315889
         250    -5.56306    -5.73917   0.0314704
         251    -5.56567    -5.73848   0.0313526
         252    -5.56831    -5.73781   0.0312355
         253    -5.57024    -5.73714   0.0311191
         254    -5.57237    -5.73649   0.0310033
         255     -5.5741    -5.73586   0.0308883
         256    -5.57561    -5.73523   0.0307739
         257    -5.57674    -5.73462   0.0306604
         258    -5.57797    -5.73401   0.0305476
         259    -5.57856    -5.73341   0.0304355
         260    -5.57913    -5.73281   0.0303242
         261    -5.57892    -5.73223   0.0302138
         262    -5.57932    -5.73164   0.0301041
         263    -5.57928    -5.73106   0.0299952
         264    -5.57912    -5.73049   0.0298871
         265    -5.57869    -5.72991   0.0297798
         266    -5.57861    -5.72934   0.0296733
         267    -5.57799    -5.72878   0.0295676
         268    -5.57773    -5.72821   0.0294626
         269     -5.5774    -5.72765   0.0293584
         270    -5.57656    -5.72709    0.029255
         271    -5.57595    -5.72654   0.0291524
         272    -5.57529    -5.72598   0.0290505
         273    -5.57442    -5.72543   0.0289494
         274    -5.57381    -5.72487    0.028849
         275     -5.5721    -5.72432   0.0287495
         276    -5.57141    -5.72376   0.0286506
         277    -5.57053    -5.72321   0.0285526
         278    -5.56991    -5.72266   0.0284552
         279    -5.56864    -5.72211   0.0283585
         280    -5.56823    -5.72156   0.0282626
         281    -5.56747    -5.72101   0.0281673
         282    -5.56636    -5.72046   0.0280728
         283     -5.5646    -5.71991    0.027979
         284    -5.56323    -5.71936   0.0278859
         285    -5.56211    -5.71881   0.0277935
         286    -5.56061    -5.71825   0.0277018
         287    -5.55904     -5.7177   0.0276109
         288    -5.55769    -5.71714   0.0275206
         289    -5.55581    -5.71658    0.027431
         290    -5.55398    -5.71602   0.0273422
         291    -5.55221    -5.71546    0.027254
         292    -5.55049    -5.71489   0.0271665
         293    -5.54851    -5.71433   0.0270797
         294    -5.54642    -5.71376   0.0269936
         295    -5.54406    -5.71318   0.0269083
         296    -5.54129     -5.7126   0.0268236
         297    -5.53884    -5.71201   0.0267397
         298    -5.53629    -5.71143   0.0266565
         299    -5.53346    -5.71083    0.026574
         300    -5.53066    -5.71023   0.0264922
         301    -5.52791    -5.70962   0.0264111
         302    -5.52459    -5.70901   0.0263307
         303    -5.52133    -5.70839   0.0262511
         304    -5.51843    -5.70777   0.0261722
         305    -5.51499    -5.70713    0.026094
         306    -5.51148     -5.7065   0.0260166
         307     -5.5079    -5.70585   0.0259399
         308    -5.50441    -5.70519   0.0258639
         309    -5.50042    -5.70453   0.0257887
         310     -5.4964    -5.70386   0.0257142
         311    -5.49265    -5.70318   0.0256405
         312    -5.48919     -5.7025   0.0255675
         313    -5.48557     -5.7018   0.0254952
         314    -5.48163     -5.7011   0.0254237
         315    -5.47829    -5.70039   0.0253528
         316    -5.47466    -5.69968   0.0252826
         317    -5.47102    -5.69896   0.0252131
         318    -5.46739    -5.69823   0.0251444
         319    -5.46406     -5.6975   0.0250763
         320    -5.46028    -5.69675   0.0250089
         321    -5.45649    -5.69601   0.0249421
         322    -5.45255    -5.69525   0.0248761
         323    -5.44889    -5.69449   0.0248108
         324    -5.44507    -5.69372   0.0247462
         325    -5.44169    -5.69294   0.0246822
         326    -5.43783    -5.69216   0.0246189
         327    -5.43411    -5.69137   0.0245562
         328    -5.43052    -5.69057   0.0244942
         329    -5.42706    -5.68977   0.0244329
         330    -5.42358    -5.68897   0.0243722
         331     -5.4195    -5.68815   0.0243121
         332    -5.41571    -5.68733   0.0242527
         333    -5.41194    -5.68651    0.024194
         334    -5.40789    -5.68567   0.0241359
         335    -5.40388    -5.68483   0.0240785
         336    -5.40007    -5.68398   0.0240218
         337     -5.3965    -5.68313   0.0239656
         338    -5.39257    -5.68227   0.0239102
         339     -5.3886     -5.6814   0.0238553
         340    -5.38537    -5.68053    0.023801
         341    -5.38246    -5.67966   0.0237473
         342    -5.37943    -5.67878   0.0236941
         343    -5.37705     -5.6779   0.0236413
         344    -5.37444    -5.67702    0.023589
         345    -5.37222    -5.67614   0.0235372
         346    -5.36996    -5.67525   0.0234858
         347    -5.36782    -5.67436   0.0234348
         348    -5.36643    -5.67348   0.0233842
         349    -5.36517     -5.6726   0.0233339
         350    -5.36438    -5.67172   0.0232838
         351    -5.36404    -5.67084    0.023234
         352     -5.3637    -5.66997   0.0231843
         353    -5.36399     -5.6691   0.0231349
         354    -5.36504    -5.66824   0.0230854
         355    -5.36518    -5.66739   0.0230362
         356    -5.36624    -5.66654    0.022987
         357    -5.36789    -5.66571   0.0229378
         358    -5.36937    -5.66488   0.0228887
         359    -5.37112    -5.66406   0.0228396
         360    -5.37312    -5.66325   0.0227904
         361    -5.37552    -5.66245   0.0227412
         362    -5.37815    -5.66167    0.022692
         363    -5.38083    -5.66089   0.0226426
         364    -5.38354    -5.66013   0.0225932
         365    -5.38718    -5.65939   0.0225437
         366    -5.39051    -5.65865   0.0224941
         367    -5.39412    -5.65793   0.0224443
         368    -5.39738    -5.65722   0.0223945
         369    -5.40057    -5.65653   0.0223446
         370    -5.40398    -5.65584   0.0222947
         371    -5.40758    -5.65517   0.0222446
         372    -5.41105    -5.65452   0.0221945
         373    -5.41513    -5.65388   0.0221443
         374    -5.41905    -5.65325   0.0220939
         375    -5.42249    -5.65263   0.0220436
         376    -5.42604    -5.65203   0.0219932
         377    -5.42968    -5.65144   0.0219428
         378    -5.43295    -5.65086   0.0218923
         379    -5.43689     -5.6503   0.0218419
         380    -5.43998    -5.64974   0.0217914
         381    -5.44312     -5.6492   0.0217409
         382    -5.44629    -5.64867   0.0216905
         383    -5.44905    -5.64815   0.0216401
         384    -5.45243    -5.64764   0.0215898
         385    -5.45492    -5.64714   0.0215395
         386    -5.45727    -5.64665   0.0214893
         387    -5.45961    -5.64616   0.0214392
         388    -5.46165    -5.64569   0.0213892
         389    -5.46367    -5.64522   0.0213394
         390    -5.46552    -5.64476   0.0212896
         391    -5.46794    -5.64431     0.02124
         392    -5.47002    -5.64386   0.0211905
         393    -5.47159    -5.64342   0.0211411
         394    -5.47295    -5.64299   0.0210918
         395    -5.47393    -5.64256   0.0210428
         396    -5.47422    -5.64214   0.0209939
         397    -5.47472    -5.64172   0.0209453
         398    -5.47467     -5.6413   0.0208969
         399    -5.47496    -5.64088   0.0208487
         400    -5.47513    -5.64047   0.0208007
         401    -5.47457    -5.64005   0.0207529
         402    -5.47389    -5.63964   0.0207054
         403    -5.47278    -5.63923   0.0206582
         404    -5.47124    -5.63881   0.0206112
         405    -5.47035    -5.63839   0.0205645
         406    -5.46831    -5.63797   0.0205181
         407    -5.46603    -5.63755   0.0204721
         408    -5.46324    -5.63713   0.0204263
         409    -5.46057    -5.63669    0.020381
         410    -5.45804    -5.63626   0.0203359
         411    -5.45494    -5.63582   0.0202912
         412    -5.45207    -5.63537   0.0202469
         413    -5.44931    -5.63492   0.0202028
         414    -5.44732    -5.63447   0.0201591
         415    -5.44477    -5.63401   0.0201157
         416    -5.44215    -5.63355   0.0200727
         417    -5.43921    -5.63308   0.0200299
         418    -5.43674    -5.63261   0.0199875
         419    -5.43461    -5.63214   0.0199454
         420     -5.4327    -5.63167   0.0199036
         421    -5.43073    -5.63119    0.019862
         422    -5.42945    -5.63071   0.0198207
         423    -5.42781    -5.63023   0.0197797
         424    -5.42687    -5.62975   0.0197388
         425    -5.42599    -5.62927   0.0196982
         426    -5.42501    -5.62879   0.0196578
         427    -5.42512    -5.62831   0.0196175
         428    -5.42507    -5.62784   0.0195774
         429    -5.42482    -5.62737   0.0195375
         430    -5.42479     -5.6269   0.0194978
         431     -5.4248    -5.62643   0.0194582
         432    -5.42465    -5.62596   0.0194187
         433    -5.42461    -5.62549   0.0193795
         434    -5.42451    -5.62503   0.0193403
         435    -5.42447    -5.62457   0.0193014
         436     -5.4237    -5.62411   0.0192626
         437    -5.42371    -5.62365    0.019224
         438    -5.42281    -5.62319   0.0191856
         439    -5.42206    -5.62273   0.0191473
         440    -5.42009    -5.62227   0.0191093
         441    -5.41903    -5.62181   0.0190716
         442    -5.41752    -5.62135    0.019034
         443    -5.41602    -5.62089   0.0189967
         444    -5.41438    -5.62042   0.0189596
         445    -5.41248    -5.61995   0.0189228
         446    -5.41018    -5.61948   0.0188862
         447    -5.40796    -5.61901   0.0188498
         448    -5.40627    -5.61854   0.0188138
         449    -5.40378    -5.61806   0.0187779
         450    -5.40142    -5.61758   0.0187424
         451     -5.3992    -5.61709   0.0187071
         452    -5.39654     -5.6166    0.018672
         453    -5.39449    -5.61611   0.0186373
         454    -5.39218    -5.61562   0.0186027
         455    -5.39036    -5.61513   0.0185684
