# BLOCK:    DISTANCE:    GOFR_ISTANT:      CUM_AVE_GOFR:        ERROR:
           6     1.97502     1.17356      1.1685  0.00356912
           6     2.00067     1.19843     1.18476  0.00396812
           6     2.02632     1.22349     1.21304  0.00367132
           6     2.05197     1.22881      1.2192  0.00282314
           6     2.07762     1.22242     1.22017  0.00154324
           6     2.10327      1.2139     1.21039  0.00277974
           6     2.12892     1.20458     1.19908  0.00257613
           6     2.15457     1.18083     1.18306  0.00270828
           6     2.18022     1.14744     1.14872  0.00227121
           6     2.20587     1.12083     1.12612   0.0027478
           6     2.23152      1.0801     1.09112  0.00371943
           6     2.25717     1.06244     1.06117  0.00396754
           6     2.28282      1.0284     1.03188  0.00377028
           6     2.30847     1.00355     1.00301  0.00244821
           6     2.33412    0.973168    0.979939  0.00332555
           6     2.35977    0.965623    0.956561  0.00414576
           6     2.38542    0.930844    0.938838  0.00364308
           6     2.41107    0.920489    0.923653   0.0019119
           6     2.43672    0.903396    0.907972  0.00148514
           6     2.46237    0.893632    0.901202  0.00292545
           6     2.48802    0.889955    0.890774  0.00128788
           6     2.51366    0.881304    0.885243  0.00277102
           6     2.53931    0.884627    0.881706  0.00276421
           7           0           0           0           0
           7   0.0256496           0           0           0
           7   0.0512993           0           0           0
           7   0.0769489           0           0           0
           7    0.102599           0           0           0
           7    0.128248           0           0           0
           7    0.153898           0           0           0
           7    0.179547           0           0           0
           7    0.205197           0           0           0
           7    0.230847           0           0           0
           7    0.256496           0           0           0
           7    0.282146           0           0           0
           7    0.307796           0           0           0
           7    0.333445           0           0           0
           7    0.359095           0           0           0
           7    0.384745           0           0           0
           7    0.410394           0           0           0
           7    0.436044           0           0           0
           7    0.461694           0           0           0
           7    0.487343           0           0           0
           7    0.512993           0           0           0
           7    0.538642           0           0           0
           7    0.564292           0           0           0
           7    0.589942           0           0           0
           7    0.615591           0           0           0
           7    0.641241           0           0           0
           7    0.666891           0           0           0
           7     0.69254           0           0           0
           7     0.71819           0           0           0
           7     0.74384           0           0           0
           7    0.769489           0           0           0
           7    0.795139           0           0           0
           7    0.820788           0           0           0
           7    0.846438           0           0           0
           7    0.872088  0.00100876  0.00111356 0.000207496
           7    0.897737   0.0195743   0.0237069  0.00097091
           7    0.923387    0.153621     0.16611  0.00387419
           7    0.949037    0.538606    0.558954  0.00649264
           7    0.974686     1.17714     1.20513  0.00768376
           7     1.00034     1.85959      1.8481  0.00749729
