# BLOCK     VELOCITY     AVE_POFV     CUM_AVG_POFV     ERROR
           8      2.3773   0.0425748   0.0502885   0.0017389
           8     2.51714   0.0250505   0.0294729  0.00293059
           8     2.65698   0.0143461   0.0175188  0.00183282
           8     2.79682  0.00882836  0.00962291  0.00122212
           8     2.93666  0.00308993   0.0050901  0.00114413
           8     3.07651 0.000971119  0.00239745 0.000611671
           8     3.21635           0 0.000962843 0.000383709
           8     3.35619           0 0.000245539 0.000120852
           8     3.49603           0 0.000292439 0.000146024
           8     3.63587           0 0.000173808 0.000107874
           8     3.77571           0 0.000115872 0.000108389
           8     3.91555           0 8.27658e-06 7.74204e-06
           8     4.05539           0 1.10354e-05 1.03227e-05
           9           0   0.0109913  0.00974798 0.000723713
           9    0.139841   0.0765419   0.0756026  0.00135675
           9    0.279682    0.216008    0.201267  0.00321778
           9    0.419524    0.381871    0.360271  0.00491017
           9    0.559365    0.529061     0.52091  0.00645009
           9    0.699206    0.658816    0.651506  0.00563824
           9    0.839047    0.749881    0.747921  0.00586858
           9    0.978888    0.754979    0.779362  0.00719069
           9     1.11873    0.749461    0.760585  0.00994808
           9     1.25857    0.693799    0.708159  0.00814754
           9     1.39841    0.618802    0.602526  0.00573621
           9     1.53825    0.495977    0.501196  0.00612845
           9     1.67809    0.366818    0.389404  0.00597039
           9     1.81794     0.27134     0.29419  0.00551578
           9     1.95778     0.20186    0.204965  0.00468274
           9     2.09762    0.140459    0.137776  0.00306206
           9     2.23746    0.103203   0.0875994  0.00232181
           9      2.3773   0.0574285   0.0510819  0.00171714
           9     2.51714   0.0344968   0.0300311   0.0026576
           9     2.65698   0.0164428   0.0173992  0.00163307
           9     2.79682  0.00790138  0.00943163  0.00110119
           9     2.93666   0.0057605  0.00516459  0.00101942
           9     3.07651   0.0024278  0.00240082 0.000543717
           9     3.21635  0.00441418  0.00134632 0.000497041
           9     3.35619 0.000551772 0.000279565 0.000112112
           9     3.49603 0.000198638 0.000282017 0.000130171
           9     3.63587 0.000220709 0.000179019 9.60136e-05
           9     3.77571 0.000220709 0.000127521 9.69693e-05
           9     3.91555 0.000353134 4.65941e-05 3.67757e-05
           9     4.05539 0.000684198 8.58313e-05 7.11126e-05
          10           0  0.00776895  0.00955008 0.000677861
          10    0.139841   0.0727677   0.0753191  0.00125034
          10    0.279682    0.199521    0.201092  0.00290073
          10    0.419524    0.365406    0.360784  0.00444592
          10    0.559365    0.509021    0.519721  0.00591364
          10    0.699206    0.615822    0.647937  0.00609997
          10    0.839047    0.739309     0.74706  0.00534455
          10    0.978888    0.804462    0.781872  0.00689577
          10     1.11873     0.79314    0.763841  0.00947097
          10     1.25857    0.726949    0.710038  0.00754634
          10     1.39841    0.623878    0.604661  0.00554578
          10     1.53825    0.479137     0.49899  0.00589925
          10     1.67809    0.372248    0.387688  0.00561445
          10     1.81794    0.286701    0.293441  0.00501479
          10     1.95778    0.203935    0.204862   0.0042156
          10     2.09762    0.149221    0.138921  0.00296203
          10     2.23746   0.0918811   0.0880276  0.00212875
          10      2.3773   0.0510941   0.0510831  0.00154543
          10     2.51714   0.0278976   0.0298178  0.00240039
          10     2.65698   0.0155379   0.0172131  0.00148033
          10     2.79682  0.00858558  0.00934702 0.000994319
          10     2.93666  0.00450246  0.00509838 0.000919628
          10     3.07651  0.00132425  0.00229317 0.000499889
          10     3.21635 0.000308993  0.00124259 0.000458034
          10     3.35619 0.000551772 0.000306785 0.000104153
          10     3.49603           0 0.000253815  0.00012017
          10     3.63587           0 0.000161118 8.80654e-05
          10     3.77571           0 0.000114769 8.81068e-05
          10     3.91555           0 4.19347e-05  3.3392e-05
          10     4.05539           0 7.72481e-05 6.45173e-05
          11           0    0.010263  0.00961488 0.000619327
          11    0.139841   0.0752397   0.0753119  0.00113669
          11    0.279682     0.22349    0.203128  0.00327458
          11    0.419524    0.375867    0.362155  0.00424794
          11    0.559365     0.54994    0.522468  0.00598021
          11    0.699206    0.650297    0.648152   0.0055492
